Name,Type,Citation
Professor Wen Tang,Journal Article,"Chen, L., Tang, W., Wan, T.R. and John, N.W., 2019. Self-supervised monocular image depth learning and confidence estimation. Neurocomputing."
Professor Wen Tang,Journal Article,"Huang, D., Tang, P., Wang, Y., Li, H., Tang, W. and Ding, Y., 2018. Computer-assisted path planning for minimally invasive vascular surgery. Chinese Journal of Electronics, 27 (6), 1241-1249."
Professor Wen Tang,Journal Article,"Chen, L., Tang, W., John, N.W., Wan, T.R. and Zhang, J.J., 2018. SLAM-based dense surface reconstruction in monocular Minimally Invasive Surgery and its application to Augmented Reality. Computer Methods and Programs in Biomedicine, 158, 135-146."
Professor Wen Tang,Journal Article,"Chen, L., Tang, W. and John, N.W., 2017. Real-time geometry-aware augmented reality in minimally invasive surgery. Healthcare Technology Letters, 4 (5), 163-167."
Professor Wen Tang,Journal Article,"Tang, P., Huang, D., Wang, Y., Gong, R., Tang, W. and Ding, Y., 2016. Position based balloon angioplasty. Proceedings - VRCAI 2016: 15th ACM SIGGRAPH Conference on Virtual-Reality Continuum and Its Applications in Industry, 1, 391-400."
Professor Wen Tang,Journal Article,"LYU, T., TANG, W., WAN, T., ZHU, Y., WU, T. and TIAN, R., 2015. Application Research for History Museum Exhibition based on Augmented Reality Interaction Technology. Journal of Xi'an Polytechnic University, 29 (6, Dec 2015)."
Professor Wen Tang,Journal Article,"ZHU, Y., WANG, X., TANG, W. and WU, T., 2015. Virtual Mouse Somatosensory Interaction Based on Kinect. Journal of XI'an Technological University, 35 (9, Sept. 2015)."
Professor Wen Tang,Journal Article,"Tang, W. and Wan, T., 2015. Interactive Thin Elastic Materials. Computer Animation and Virtual Worlds."
Professor Wen Tang,Journal Article,"Taosha Lu, Wen Tang, Tao Ruan Wan, Yaoling Zhu and Tong Wu, 2015. Research on Far Distance Recognized Objects in Augmented Reality. Software Engineer, 18 ((04), 2015), 7-10."
Professor Wen Tang,Journal Article,"Ma, C., Tang, W., Wan, T., Zhu, Y. and Wu, T., 2015. 3D Navigation Simulation Software Design of Vascular Intervention. Software Engineer,, 18 (4, April 2015), 5-8."
Professor Wen Tang,Journal Article,"Tang, W. and Wan, T.R., 2014. Constrained Soft Tissue Simulation for Virtual Surgical Simulation. IEEE Transactions on Biomedical Engineering, 61 (11)."
Professor Wen Tang,Journal Article,"Wan, T.R. and Tang, W., 2013. Real-time computational modelling of textile fabric and cloth (Invited Paper). Journal of Xi'an Polytechnic University, 5."
Professor Wen Tang,Journal Article,"Wan, T.R., Tang, W. and Chen, H., 2013. A Real-time 3D Motion Planning and Simulation Scheme for Nonholonomic Systems. Journal of Simulation Modelling Practice and Theory, 19 (1)."
Professor Wen Tang,Journal Article,"Wan, T.R., Tang, W. and Zhu, Y., 2012. A New Registration Method for Mixed Augmented Reality Environments. Applied Mechanics and Materials, 220-223."
Professor Wen Tang,Journal Article,"Wan, T.R., Tang, W. and Zhu, Y., 2012. Application Research on Pose Estimation Algorithm in Ancient Building Indoor Environment. Computer and Modernization, 11."
Professor Wen Tang,Journal Article,"Tang, W., Wan, T., Gould, D., How, T. and John, N.W., 2012. A Real-time Nonlinear Elastic Approach to Simulating Guide-wire and Catheter Insertions Based on Cosserat Rod. IEEE Transactions on Biomedical Engineering, 59 (8)."
Professor Wen Tang,Journal Article,"Tang, W. and Wan, T.R., 2011. A New Approach to Haptic Rendering for Real-time Simulation of Guidewires and Catheters for Minimally Invasive Medical Procedures. Journal of Computer Animation and Virtual World, 22 (2-3), 261-268."
Professor Wen Tang,Journal Article,"Tang, W., Gould, D., Wan, T.R., Zhai, J. and How, T., 2010. A realistic elastic rod model for real-time simulation of minimally invasive vascular interventions. The Visual Computer, 26 (9)."
Professor Wen Tang,Journal Article,"Tang, W., Gould, D., Wan, T.R., Zhai, J. and How, T., 2010. A realistic elastic rod model for real-time simulation of minimally invasive vascular interventions. The Visual Computer, 26 (9), 1157-1165."
Professor Wen Tang,Journal Article,"Tang, W., Gould, D., Wan, T.R. and How, T., 2010. Realistic Elastic Rod Model for Real-time Simulation of Minimally Invasive Vascular Interventions. The Visual Computer, 26 (9)."
Professor Wen Tang,Journal Article,"Tang, W., Gould, D., Wan, T.R. and How, T., 2010. A Realistic Elastic Rod Model for Real-time Simulation of Minimally Invasive Vascular Interventions. The Visual Computer, 26 (9), 1157-1165."
Professor Wen Tang,Journal Article,"Tang, W., Gould, D., Wan, T.R., Zhai, J. and How, T., 2010. A realistic elastic rod model for real-time simulation of minimally invasive vascular interventions. The Visual Computer, 26 (9), 1157-1165."
Professor Wen Tang,Journal Article,"Noble, P. and Tang, W., 2007. Automatic Expressive Deformations for Implying and Stylizing Motion. The Visual Computer, 23 (7), 523-533."
Professor Wen Tang,Journal Article,"Noble, P. and Tang, W., 2006. Modelling and Animating Cartoon Hair. Journal of WSCG (Winter School of Computer Graphics), 12 (2)."
Professor Wen Tang,Journal Article,"Wan, T.R. and Tang, W., 2004. Agent-based Real time Traffic Control Simulation for Urban Environments. IEEE Transactions on Intelligent Transportation Systems."
Professor Wen Tang,Journal Article,"Tang, W. and Wan, T.R., 2002. Multi-Agent Animation Techniques for Traffic Simulation in Urban Environment. Journal of WSCG (Winter School of Computer Graphics), 12."
Professor Wen Tang,Journal Article,"Tang, W. and Wan, T.R., 2002. Simulating Virtual Character’s Learning Behaviour as an Evolutionary Process Using Genetic Algorithms. Journal of WSCG (Winter School of Computer Graphics), 12."
Professor Wen Tang,Journal Article,"Tang, W., Cavazza, M., Mountain, D. and Earnshaw, R., 1999. Constrained inverse kinematics technique for real-time motion capture animation. Visual Computer, 15 (7), 413-425."
Professor Wen Tang,Journal Article,"Tang, W., Cavazza, M., Mountain, D. and Earnshaw, R., 1999. A Constrained Inverse Kinematics Technology for Real-time Motion Capture of Generalized Body Configuration. The Visual Computer, 15."
Professor Wen Tang,Book,"Tian, F., Gatzidis, C., El Rhalibi, A., Tang, W. and Charles, F., 2017. Preface."
Professor Wen Tang,Chapter,"Pedersen, K., Gatzidis, C. and Tang, W., 2017. OpenGL | D- An Alternative Approach to Multi-user Architecture. Transactions on Computational Science. Springer."
Professor Wen Tang,Chapter,"Tang, W., Sagi, A., Green, D. and Wan, T., 2016. 978-3-319-40258-1. In: El Rhalibi, Tain, F., Pan and Liu, B., eds. E-Learning and Games. Springer."
Professor Wen Tang,Chapter,"Tang, W. and Wan, T.R., 2010. Yarn and fancy yarn design using three-dimensional computer graphics and visualisation techniques. Technical Textile Yarns. 568-585."
Professor Wen Tang,Conference,"Huang, D., Yao, Y., Tang, W. and Ding, Y., 2018. Facial tracking and animation for digital social system."
Professor Wen Tang,Conference,"Chen, L., Tang, W. and John, W.N., 2018. Unsupervised Learning of Surgical Smoke Removal from Simulation. In: The 11th Hamlyn Symposium on Medical Robotics 24-27 June 2018 Imperial College."
Professor Wen Tang,Conference,"You, X., Tian, F. and Tang, W., 2018. A unified approach to blending of constant and varying parametric surfaces with curvature continuity. In: Computer Graphics International 11-14 June 2018 Bintan, Indonesia."
Professor Wen Tang,Conference,"Pedersen, K., Gatzidis, C. and Tang, W., 2018. OpenGL. 57-74."
Professor Wen Tang,Conference,"Xu, W., Hargood, C., Tang, W. and Charles, F., 2018. Towards generating stylistic dialogues for narratives using data-driven approaches. 462-472."
Professor Wen Tang,Conference,"Gao, Q.H., Wan, T.R., Tang, W. and Chen, L., 2017. A stable and accurate marker-less augmented reality registration method. 41-47."
Professor Wen Tang,Conference,"Pedersen, K., Tang, W. and Gatzidis, C., 2017. OpenGL. 198-201."
Professor Wen Tang,Conference,"Chen, L., Day, T.W., Tang, W. and John, N.W., 2017. Recent developments and future challenges in medical mixed reality. 123-135."
Professor Wen Tang,Conference,"Chen, L., Francis, K. and Tang, W., 2017. Semantic Augmented Reality Environment with Material-Aware Physical Interactions. 135-136."
Professor Wen Tang,Conference,"Pedersen, K., Tang, W. and Gatzidis, C., 2017. OpenGL|D - A Multi-user Single State Architecture for Multiplayer Game Development. In: 2017 International Conference on CYBERWORLDS 20-22 September 2017 Chester, United Kingdom."
Professor Wen Tang,Conference,"Huang, D., Li, H., Ding, Y., Tang, W., Zu, H. and Zhang, H., 2017. Multi-person virtual rehearsal system based on optical location tracking. 446-447."
Professor Wen Tang,Conference,"Hargood, C., Hicks, B., Charles, F., Lynch, S. and Tang, W., 2017. Snow White is Missing: An Interactive Locative Story For Dementia Patients. In: Edutainment 2017 26-28 June 2017 Bournemouth. Springer."
Professor Wen Tang,Conference,"Wang, L., Wan, T.R., Tang, W., Zhu, Y.L. and Wu, T., 2017. An Efficient Human Body Contour Extraction Method for Mobile Apps. 173-181."
Professor Wen Tang,Conference,"Gao, Q.H., Wan, T.R., Tang, W., Chen, L. and Zhang, K.B., 2017. An Improved Augmented Reality Registration Method Based on Visual SLAM. 11-19."
Professor Wen Tang,Conference,"Huang, D., Gong, R., Li, H., Tang, W. and Ding, Y., 2017. A 3D tube-object centerline extraction algorithm based on steady fluid dynamics. 275-286."
Professor Wen Tang,Conference,"Cicchella, A. and Tang, W., 2016. Pervasive and persuasive technologies in motivating people to physical activities and in monitoring health linked to sport tourism promotion and development. In: Second Internal Scientific and Practical Conference:Sport and Tourism: Development and Administration 13 October-16 August 2016 Russia."
Professor Wen Tang,Conference,"Cotterill, C., Davison, T., O’Connor, S., Orr, D., Charles, F. and Tang, W., 2016. Fire and Gas Detection Mapping using Volumetric Rendering. In: Computer Graphics and Visual Computing 2016 15-16 September 2016 Bournemouth."
Professor Wen Tang,Conference,"Tang, W., Smith, P., Watson, A. and Sahandi, M., 2016. EDTree: Emotional Dialogue Trees for Game Based Training. In: Edutainment 2016 15-17 April 2016 Hangzhou, China."
Professor Wen Tang,Conference,"Tang, W., Smith, P., Watson, A. and Sahandi, M., 2016. Utilising Emotional Response within Dialogue Trees for Game-based Training. In: The 29th International Conference on Computer Animation and Social Agents 23-25 May 2016 Geneva, Switzerland."
Professor Wen Tang,Conference,"Huang, D., Tang, P., Wang, Y., Xie, Z., Ding, Y. and Tang, W., 2016. Real-time simulation of contrast media diffusion based on GPU. 286-289."
Professor Wen Tang,Conference,"Tang, W., Sagi, A., Green, D. and Wan, T.R., 2016. Cross-platform cloth simulation API for games. 224-232."
Professor Wen Tang,Conference,"Chen, L. and Tang, W., 2016. MathRun: An adaptive mental arithmetic game using a quantitative performance model."
Professor Wen Tang,Conference,"Wang, Q., Liu, X., Lu, X., Cao, J. and Tang, W., 2015. Cute Balloons. In: the 8th International Conference on Image and Graphics 13-16 August 2015 Tianjin, China."
Professor Wen Tang,Conference,"Huang, D., Wang, Y., Tang, P., Xie, Z., Tang, W. and Ding, Y., 2015. Modeling and simulation of multi-frictional interaction between guidewire and vasculature. 524-537."
Professor Wen Tang,Conference,"Wang, Q., Liu, X., Lu, X., Cao, J. and Tang, W., 2015. Cute balloons with thickness. 75-89."
Professor Wen Tang,Conference,"Tang, W., Sagi, A. and Wan, T.R., 2014. Interactive and scalable cloth simulation API for games (Best short paper award). In: Computer Graphics & Visual Computing (CGVC) 2014 10-11 September 2014 Leeds."
Professor Wen Tang,Conference,"Tang, W. and Wan, T.R., 2012. Simulation of Deformable Solids in Interactive Virtual Reality Applications. In: The 18th ACM Symposium on Virtual Reality Software and Technology 10-12 December 2012 Toronto, Canada. ACM."
Professor Wen Tang,Conference,"Wan, T.R., Tang, W. and Huang, D., 2012. Real-time Simulation of 1-D Flexible Objects in Virtual Environments. In: The 18th ACM Symposium on Virtual Reality Software and Technology 10-12 December 2012 Toronto, Canada. ACM."
Professor Wen Tang,Conference,"Wan, T.R., Tang, W. and Huang, D., 2012. Real-time simulation of long thin flexible objects in interactive virtual environments. 85-92."
Professor Wen Tang,Conference,"Huang, D., Tang, W. and Ding, Y., 2011. An Interactive 3D Preoperative Planning and Training System for Minimally Invasive Surgery. In: the 12th International CAD/Graphics 15-17 September 2011 Huangzhou., China."
Professor Wen Tang,Conference,"Huang, D., Ding, Y. and Tang, W., 2011. Motion Capture of Hand Movements Using Stereo Vision for Minimally Invasive Vascular Interventions. In: in Proceedings of the 6th International Conference on Image and Graphics 12-15 August 2011 Hunagzhou, China. IEEE."
Professor Wen Tang,Conference,"Noble, P. and Tang, W., 2011. Multi-level 3D Caricatures with Relative Feature Displacement and Head Shapes. In: The Computer Graphics International 12-15 June 2011 Ottawa, Canada."
Professor Wen Tang,Conference,"Huang, D., Ding, Y., Tang, W. and Wang, C., 2010. Virtual Throwing Action Recognition Based on Time Series Data Mining in an Augmented Reality System. In: International Conference on Audio, Language and Image Processing 23-25 November 2010 Shanghai, China. IEEE."
Professor Wen Tang,Conference,"Tang, W., Niquin, C. and Schildknecht, A., 2009. Fast and Accurate Finite Element Method for Deformation Animations. In: The theory and practice of computer graphics 17-19 June 2009 United Kingdom."
Professor Wen Tang,Conference,"Tang, W., Niquin, C. and Schildknecht, A., 2008. Real-time Finite Element Based Deformations with Skeleton-driven Constraints. In: The 21st International Conference on Computer Animation and Social Agents 1-3 September 2008 Seoul, South Korea."
Professor Wen Tang,Conference,"Tang, W., Wan, T. and Gatzoulis, C., 2007. Interactive Dynamic Motion Synthesis with Adaptive Optimization. In: Frank Van Reeth, ed. The 20th International Conference on Computer Animation and Social Agents 11-13 June 2007 Belgium."
Professor Wen Tang,Conference,"Feng, Y., Chen, Y. and Tang, W., 2006. Augmented reality with multilayer occlusion. 99-104."
Professor Wen Tang,Conference,"Noble, P. and Tang, W., 2006. Automatic Expressive Deformations for Stylizing Motion. In: Andrew Rohl, ed. ACM SIGGRAPH, GRAPHITE 2006 29 November-2 December 2006 Kuala Lumpur, Malaysia."
Professor Wen Tang,Conference,"Tang, W., Hurlbert, A. and Wan, T., 2006. Visual Assessment of Image Representation on Mobile Phone. In: The International Symposium on Computational Modelling of Objects Represented in Images: Fundamentals, Methods and Applications 20-21 October 2006 Portugal."
Professor Wen Tang,Conference,"Gatzoulis, C., Sourgoutsidis, A., Hurmusiadis, A. and Tang, W., 2006. Adaptive Social Skills for Robots Interacting with Virtual Characters in Real Worlds. In: The 15th IEEE International Symposium on Robot and Human Interactive Communication (ROMAN 2006) 6-8 September 2006 Germany."
Professor Wen Tang,Conference,"Noble, P. and Tang, W., 2006. Expressive and Dynamic Deformation of Animated Computer-Generated Characters (Best Paper Award). In: Silvester Czanner (MMU) Wen Tang (Teeside University, ed. the 5th International Conference on Theory and Practice of Computer Graphics 20-22 June 2006 Middlesbrough."
Professor Wen Tang,Conference,"Gatzoulis, C., Tang, W. and Stoddart, W., 2006. Evolving Body Kinematics for Virtual Characters. In: the 5th International Conference on Theory and Practice of Computer 20-22 June 2006 UK."
Professor Wen Tang,Conference,"Champagne, J. and Tang, W., 2005. Real-time Simulation of Crowds Using Voronoi Diagrams. In: the 3rd International Conference on Theory and Practice of Computer Graphics 12-14 June 2005 UK."
Professor Wen Tang,Conference,"Gatzoulis, C., Tang, W. and Wan, T., 2004. Fuzzy Reinforcement Learning for an Evolving Virtual Servant Robot. In: RO-MAN 2004, The 13th IEEE International Symposium on Robot and Human Interactive Communication,2004 1-4 October 2004 Japan."
Professor Wen Tang,Conference,"Li, H., Tang, W. and Simpson, D., 2004. Behaviour based motion simulation for fire evacuation procedures. 112-118."
Professor Wen Tang,Conference,"Tang, W., Wan, T.R. and Gatzoulis, C., 2004. Proactive and Anticipatory Virtual Characters- An Ethology Approach. In: The International Conference on Applied Simulation and Modelling 9-11 August 2004 Greece."
Professor Wen Tang,Conference,"Wan, T. and Tang, W., 2004. An Individual-based Model for Traffic Simulation. In: The International Industrial Simulation Conference 2004 1-4 July 2004 Malaga, Spain."
Professor Wen Tang,Conference,"Li, H., Tang, W. and Simpsion, D., 2004. Behaviour Based Motion Simulation for Fire Evacuation Procedures (Best Practice paper award). In: the 3rd International Conference on Theory and Practice of Computer Graphics 8-10 June 2004 Bournemouth."
Professor Wen Tang,Conference,"Noble, P. and Tang, W., 2004. Cartoon Hair Simulation. In: EPSRC, IEEE, and Institute of Physics: Postgraduate Research Conference in Electronics, Photonics, Communications & Networks, and Computing Science 5-7 April 2004 University of Hertfordshire, UK."
Professor Wen Tang,Conference,"Noble, P. and Tang, W., 2004. Modelling and Animating Cartoon Hair with NURBS Surface. In: Computer Graphics International (CGI) 2004 16-19 June 2004 Greece. IEEE Computer Society Press."
Professor Wen Tang,Conference,"Tang, W., Wan, T.R. and Patel, S., 2003. Real-time Crowd Movement on Large Scale Terrain. In: The 1st Theory and Practice of Computer Graphics 3-5 June 2003 Birmingham."
Professor Wen Tang,Conference,"McDermott, P.J. and Tang, W., 2003. Expressive Artificial Intelligence Based Character Animation through Environmental Feature Detection and Classification. In: EPSRC, PREP2003, IEEE and Institute of Physics 15-17 April 2003 Exeter."
Professor Wen Tang,Conference,"Li, H. and Tang, W., 2003. The Development of An Interactive Fire Evacuation Simulation System. In: EPSRC PREP2003 15-17 April 2003 Exeter."
Professor Wen Tang,Conference,"Tang, W. and Wan, T.R., 2003. An Intelligent Vehicle Model for 3D Visual Traffic Simulation. In: IEE International Conference on Visual Information Engineering 3-4 April 2003 Surrey."
Professor Wen Tang,Conference,"Wan, T.R. and Tang, W., 2002. Intelligent Self-learning Characters for Computer Games. In: The 20th Eurographics UK Conference 3-5 April 2002 Bradford."
Professor Wen Tang,Conference,"Wan, T.R. and Tang, W., 2002. Real-time Simulating Virtual Character’s Learning Behaviour for Interactive Virtual Environments. In: The Second International Game Technology Conference 15-19 January 2002 Hong Kong."
Professor Wen Tang,Conference,"Davison, C. and Tang, W., 2001. Deformable Terrain Generation for Real-time Strategy Games (short paper). In: EUROGRAPHICS 2001 15-17 September 2001 Manchester."
Professor Wen Tang,Conference,"Tang, W., Cavazza, M., Mountain, D. and Earnshaw, R., 1998. Real-time inverse kinematics through constrained dynamics. 159-170."
Professor Wen Tang,Scholarly,"Tang, W., Tian, F. and Gatzidis, C., 2016. Ubiquitous gaming interaction design workshop."
Professor Wen Tang,Scholarly,"Tang, W. and Borgo, R., 2014. COMPUTER GRAPHICS & VISUAL COMPUTING 2014. Eurographics Association for Computer Graphics."
Professor Wen Tang,Scholarly,"Czanner, S. and Tang, W., 2013. Theory and Practice of Computer Graphics. Eurographics Association."
Professor Wen Tang,Scholarly,"Tang, W. and Collomosse, J.P., 2009. Theory and Practice of Computer Graphics Proceedings, 2009. Eurographics Association."
Professor Wen Tang,Scholarly,"Tang, W. and Lim, I.K.S., 2008. Theory and Practice of Computer Graphics, Manchester, United Kingdom, 2008. Proceedings. Eurographics Association 2008, ISBN 978-3-905673-67-8. Eurographics Association."
Karsten Pedersen,Journal Article,"Simons, A., Pedersen, K.P., Fonseca, J.F. and Prakoonwit, S.P., 2017. What’s Wrong with the Feedback? Lecture Notes in Computer Science."
Karsten Pedersen,Chapter,"Pedersen, K., Gatzidis, C. and Tang, W., 2017. OpenGL | D- An Alternative Approach to Multi-user Architecture. Transactions on Computational Science. Springer."
Karsten Pedersen,Conference,"Pedersen, K., Gatzidis, C. and Tang, W., 2018. OpenGL. 57-74."
Karsten Pedersen,Conference,"Pedersen, K., Tang, W. and Gatzidis, C., 2017. OpenGL. 198-201."
Karsten Pedersen,Conference,"Simons, A., pedersen, K.P., fonseca, J.F. and Prakoonwit, S.P., 2017. What’s Wrong with the Feedback? In: Edutainment 2017 26-28 June 2017 Bournemouth. Elsevier."
Karsten Pedersen,Conference,"Pedersen, K., Tang, W. and Gatzidis, C., 2017. OpenGL|D - A Multi-user Single State Architecture for Multiplayer Game Development. In: 2017 International Conference on CYBERWORLDS 20-22 September 2017 Chester, United Kingdom."
Karsten Pedersen,Conference,"Simons, A., 2016. Scale Model Games (SMG): An Introduction to a New Type of Game Play. In: 30th International BCS Human Computer Interaction Conference (HCI 2016) 11-15 July 2016 Bournemouth."
Karsten Pedersen,Conference,"Pedersen, K., Gatzidis, C. and Northern, B., 2013. Distributed DeepThought: Synchronising complex network multi-player games in a scalable and flexible manner. 40-43."
Dr Vedad Hulusic,Journal Article,"Perez-Ortiz, M., Mikhailiuk, A., Zerman, E., Hulusic, V., Valenzise, G. and Mantiuk, R.K., 2020. From pairwise comparisons and rating to a unified quality scale. IEEE Transactions on Image Processing, 29, 1139-1151."
Dr Vedad Hulusic,Journal Article,"Pistoljevic, N. and Hulusic, V., 2018. Educational E-book For Children With and Without Developmental Disorders. Journal of Computers in Education."
Dr Vedad Hulusic,Journal Article,"Debattista, K., Bugeja, K., Spina, S., Bashford-Rogers, T. and Hulusic, V., 2018. Frame rate vs resolution: A subjective evaluation of spatiotemporal perceived quality under varying computational budgets. Computer Graphics Forum, 37 (1), 363-374."
Dr Vedad Hulusic,Journal Article,"Hulusic, V., Debattista, K., Valenzise, G. and Dufaux, F., 2017. A model of perceived dynamic range for HDR images. Signal Processing: Image Communication, 51, 26-39."
Dr Vedad Hulusic,Journal Article,"Hulusic, V., Debattista, K. and Chalmers, A., 2013. Smoothness perception: Investigation of beat rate effect on frame rate perception. Visual Computer, 29 (11), 1159-1172."
Dr Vedad Hulusic,Journal Article,"Hulusic, V. and Pistoljevic, N., 2012. “LeFCA”: Learning framework for children with autism. Procedia Computer Science, 15, 4-16."
Dr Vedad Hulusic,Journal Article,"Hulusic, V., Harvey, C., Debattista, K., Tsingos, N., Walker, S., Howard, D. and Chalmers, A., 2012. Acoustic rendering and auditory-visual cross-modal perception and interaction. Computer Graphics Forum, 31 (1), 102-131."
Dr Vedad Hulusic,Journal Article,"Rizvic, S., Sadzak, A., Ramic-Brkic, B. and Hulusic, V., 2011. Virtual museums and their public perception in Bosnia and Herzegovina. International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives, 38 (5W16), 421-427."
Dr Vedad Hulusic,Journal Article,"Hulusić, V., Debattista, K., Aggarwal, V. and Chalmers, A., 2011. Maintaining frame rate perception in interactive environments by exploiting audio-visual cross-modal interaction. Visual Computer, 27 (1), 57-66."
Dr Vedad Hulusic,Chapter,"Hulusic, V. and Pistoljevic, N., 2016. Read, play and learn: An interactive e-book for children with autism. 255-265."
Dr Vedad Hulusic,Chapter,"Hulusic, V. and Rizvic, S., 2013. Story guided virtual environments in educational applications. Transactions on Edutainment IX. Springer, 132-149."
Dr Vedad Hulusic,Conference,"Fletcher, C., Hulusic, V. and Amelidis, P., 2019. Virtual Reality Ear Training System: A study on Spatialised Audio in Interval Recognition. In: VS-Games 2019: 11th International Conference on Virtual Worlds and Games for Serious Applications 4-6 September 2019 Vienna, Austria."
Dr Vedad Hulusic,Conference,"Yousef, H., Feuvre, J.L., Valenzise, G. and Hulusic, V., 2018. Video quality evaluation for tile-based spatial adaptation."
Dr Vedad Hulusic,Conference,"Valenzise, G., Purica, A., Hulusic, V. and Cagnazzo, M., 2018. Quality assessment of deep-learning-based image compression."
Dr Vedad Hulusic,Conference,"Selmanovic, E., Rizvic, S., Harvey, C., Boskovic, D., Hulusic, V., Chahin, M. and Sljivo, S., 2018. VR Video Storytelling for Intangible Cultural Heritage Preservation. In: The 16th EUROGRAPHICS Workshop on Graphics and Cultural Heritage (EG GCH) 12-15 November 2018 Vienna, Austria. The Eurographics Association."
Dr Vedad Hulusic,Conference,"Kane, D., Grimaldi, A., Zerman, E., Bartalmio, M., Hulusic, V. and Valenzise, G., 2018. The preferred system gamma is primarily determined by the ratio of dynamic range of the original scene and the displayed image. In: Human Vision and Electronic Imaging Conference, IS&T International Symposium on Electronic Imaging (EI 2018) 29 January-1 February 2018 USA."
Dr Vedad Hulusic,Conference,"Hulusic, V., Valenzise, G. and Dufaux, F., 2018. Perceived dynamic range of HDR images with no semantic information."
Dr Vedad Hulusic,Conference,"Zerman, E., Hulusic, V., Valenzise, G., Mantiuk, R.K. and Dufaux, F., 2018. The relation between MOS and pairwise comparisons and the importance of cross-content comparisons."
